user_id,cashback_perdido_mes,top_categoria_perdida,monto_top_categoria
USR-00618,1291.06,tecnologia,815.36
USR-00619,26.53,supermercado,14.78
USR-00621,0.0,ninguna,0.0
USR-00628,1.44,entretenimiento,1.44
USR-00630,10.86,entretenimiento,7.25
USR-00632,10.5,supermercado,10.5
USR-00634,20.59,ropa_accesorios,12.93
USR-00635,20.95,entretenimiento,20.95
USR-00636,15.35,restaurante,15.35
USR-00637,24.16,supermercado,15.0
USR-00638,13.12,salud,13.12
USR-00639,40.41,restaurante,18.43
USR-00640,14.78,gobierno,8.79
USR-00642,15.07,restaurante,15.07
USR-00644,0.0,ninguna,0.0
USR-00645,17.51,salud,9.01
USR-00646,25.57,viajes,25.57
USR-00648,0.0,ninguna,0.0
USR-00649,39.44,restaurante,15.23
USR-00651,20.9,supermercado,20.9
USR-00655,17.78,educacion,17.78
USR-00656,149.01,tecnologia,91.3
USR-00657,0.0,ninguna,0.0
USR-00658,14.8,educacion,14.8
USR-00661,33.14,salud,33.14
USR-00666,12.0,restaurante,7.41
USR-00667,0.0,ninguna,0.0
USR-00671,392.66,tecnologia,134.17
USR-00672,0.0,ninguna,0.0
USR-00674,0.0,ninguna,0.0
USR-00678,29.02,restaurante,23.69
USR-00679,0.0,ninguna,0.0
USR-00680,12.12,ropa_accesorios,12.12
USR-00681,0.0,ninguna,0.0
USR-00682,0.0,ninguna,0.0
USR-00686,10.64,restaurante,10.64
USR-00687,0.0,ninguna,0.0
USR-00688,101.77,transporte,52.4
USR-00689,2.35,restaurante,2.35
USR-00691,0.0,ninguna,0.0
USR-00696,23.74,supermercado,23.74
USR-00698,4.79,restaurante,4.79
USR-00699,5.75,supermercado,5.75
USR-00701,0.0,ninguna,0.0
USR-00703,10.74,entretenimiento,9.24
USR-00707,19.27,restaurante,14.28
USR-00709,0.0,ninguna,0.0
USR-00710,135.8,salud,82.65
USR-00712,6.6,restaurante,6.6
USR-00713,18.25,restaurante,18.25
USR-00720,0.0,ninguna,0.0
USR-00721,0.0,ninguna,0.0
USR-00722,12.56,transporte,12.56
USR-00724,265.96,gobierno,109.11
USR-00726,0.0,ninguna,0.0
USR-00728,135.68,transporte,135.68
USR-00732,135.87,hogar,135.87
USR-00733,35.91,salud,35.91
USR-00734,32.1,supermercado,11.04
USR-00738,0.0,ninguna,0.0
USR-00740,0.0,ninguna,0.0
USR-00741,26.69,salud,13.01
USR-00743,0.0,ninguna,0.0
USR-00747,0.0,ninguna,0.0
USR-00748,58.08,tecnologia,58.08
USR-00749,0.0,ninguna,0.0
USR-00751,0.0,ninguna,0.0
USR-00752,33.86,restaurante,17.41
USR-00753,0.0,ninguna,0.0
USR-00754,26.32,supermercado,18.05
USR-00756,0.0,ninguna,0.0
USR-00757,25.08,transporte,25.08
USR-00760,32.51,salud,14.38
USR-00763,6.96,restaurante,6.96
USR-00765,0.0,ninguna,0.0
USR-00771,0.0,ninguna,0.0
USR-00772,0.0,ninguna,0.0
USR-00774,0.0,ninguna,0.0
USR-00776,0.0,ninguna,0.0
USR-00777,0.99,ropa_accesorios,0.99
USR-00778,0.0,ninguna,0.0
USR-00780,23.56,supermercado,14.12
USR-00781,251.29,tecnologia,148.04
USR-00783,0.0,ninguna,0.0
USR-00784,0.0,ninguna,0.0
USR-00787,0.0,ninguna,0.0
USR-00794,93.43,supermercado,93.43
USR-00797,12.57,entretenimiento,6.62
USR-00798,13.86,servicios_digitales,6.16
USR-00800,14.48,supermercado,11.97
USR-00801,0.0,ninguna,0.0
USR-00802,6.71,restaurante,6.71
USR-00806,0.0,ninguna,0.0
USR-00807,24.09,entretenimiento,24.09
USR-00808,36.04,supermercado,36.04
USR-00813,37.93,entretenimiento,28.5
USR-00814,13.85,gobierno,12.12
USR-00815,3.4,supermercado,3.4
USR-00824,0.0,ninguna,0.0
USR-00825,0.0,ninguna,0.0
USR-00826,37.81,supermercado,19.75
USR-00827,26.6,entretenimiento,12.3
USR-00829,0.0,ninguna,0.0
USR-00831,6.17,transporte,6.17
USR-00835,75.31,viajes,53.96
USR-00837,12.06,supermercado,9.71
USR-00840,0.0,ninguna,0.0
USR-00841,43.26,educacion,28.33
USR-00843,0.0,ninguna,0.0
USR-00845,2.04,salud,2.04
USR-00846,0.0,ninguna,0.0
USR-00847,7.31,transporte,7.31
USR-00848,15.99,supermercado,15.99
USR-00849,4.43,restaurante,4.43
USR-00850,12.75,restaurante,12.75
USR-00853,0.0,ninguna,0.0
USR-00854,201.14,servicios_digitales,132.18
USR-00857,0.0,ninguna,0.0
USR-00858,0.0,ninguna,0.0
USR-00859,0.0,ninguna,0.0
USR-00863,7.42,restaurante,7.42
USR-00864,3.79,servicios_digitales,3.79
USR-00865,12.62,restaurante,12.06
USR-00870,0.0,ninguna,0.0
USR-00871,6.1,gobierno,6.1
USR-00874,0.0,ninguna,0.0
USR-00875,17.81,gobierno,16.15
USR-00876,0.0,ninguna,0.0
USR-00877,2.94,gobierno,2.94
USR-00878,41.72,gobierno,41.72
USR-00882,0.0,ninguna,0.0
USR-00889,81.23,hogar,81.23
USR-00891,28.68,supermercado,20.55
USR-00894,17.73,salud,17.73
USR-00896,148.98,restaurante,97.76
USR-00897,12.9,restaurante,12.26
USR-00904,0.0,ninguna,0.0
USR-00905,3.02,ropa_accesorios,2.2
USR-00906,23.14,supermercado,23.14
USR-00910,7.63,transporte,7.63
USR-00912,0.0,ninguna,0.0
USR-00914,0.0,ninguna,0.0
USR-00915,9.58,servicios_digitales,5.23
USR-00918,15.86,restaurante,10.13
USR-00920,29.8,supermercado,18.68
USR-00921,6.92,restaurante,6.92
USR-00923,0.0,ninguna,0.0
USR-00924,2.39,ropa_accesorios,2.39
USR-00926,15.14,restaurante,15.14
USR-00927,6.36,salud,6.36
USR-00928,0.0,ninguna,0.0
USR-00929,0.0,ninguna,0.0
USR-00932,0.0,ninguna,0.0
USR-00934,0.71,entretenimiento,0.71
USR-00935,0.0,ninguna,0.0
USR-00938,0.0,ninguna,0.0
USR-00939,0.0,ninguna,0.0
USR-00940,24.77,ropa_accesorios,12.54
USR-00942,19.8,supermercado,19.8
USR-00943,0.0,ninguna,0.0
USR-00945,9.69,supermercado,8.51
USR-00946,69.5,restaurante,55.21
USR-00947,0.0,ninguna,0.0
USR-00949,2.19,transporte,2.19
USR-00951,0.0,ninguna,0.0
USR-00953,31.28,restaurante,19.0
USR-00955,6.57,entretenimiento,5.03
USR-00956,17.6,restaurante,17.6
USR-00958,17.58,restaurante,6.13
USR-00959,3.58,restaurante,3.58
USR-00961,0.0,ninguna,0.0
USR-00962,0.96,supermercado,0.96
USR-00964,12.83,gobierno,12.83
USR-00965,29.04,hogar,29.04
USR-00966,25.1,gobierno,13.56
USR-00968,13.79,ropa_accesorios,8.44
USR-00970,22.73,supermercado,16.76
USR-00971,0.0,ninguna,0.0
USR-00974,22.33,transporte,22.33
USR-00975,0.0,ninguna,0.0
USR-00976,1.45,restaurante,1.45
USR-00982,15.87,salud,9.85
USR-00983,32.12,supermercado,32.12
USR-00984,13.64,supermercado,13.64
USR-00985,1.91,supermercado,1.91
USR-00993,27.23,supermercado,27.23
USR-00997,0.0,ninguna,0.0
USR-00998,0.0,ninguna,0.0
USR-00999,0.0,ninguna,0.0
USR-01000,0.0,ninguna,0.0
USR-01003,10.74,restaurante,6.14
USR-01005,7.22,restaurante,7.22
USR-01008,0.0,ninguna,0.0
USR-01014,0.0,ninguna,0.0
USR-01016,133.53,supermercado,133.53
USR-01018,0.0,ninguna,0.0
USR-01021,17.46,transporte,17.46
USR-01023,1.16,restaurante,1.16
USR-01025,41.62,restaurante,17.74
USR-01027,9.6,supermercado,9.6
USR-01028,0.0,ninguna,0.0
USR-01032,0.0,ninguna,0.0
USR-01033,0.0,ninguna,0.0
USR-01035,91.03,tecnologia,52.3
USR-01039,0.0,ninguna,0.0
USR-01041,8.6,ropa_accesorios,6.12
USR-01042,89.55,supermercado,69.38
USR-01044,23.59,retiro_cajero,13.33
USR-01051,0.0,ninguna,0.0
USR-01052,21.1,restaurante,14.44
USR-01053,0.0,ninguna,0.0
USR-01054,3.2,restaurante,3.2
USR-01055,18.29,supermercado,18.29
USR-01057,8.64,gobierno,7.2
USR-01058,12.76,entretenimiento,12.41
USR-01060,0.0,ninguna,0.0
USR-01063,25.79,supermercado,14.26
USR-01064,0.0,ninguna,0.0
USR-01068,12.48,supermercado,8.35
USR-01072,0.0,ninguna,0.0
USR-01074,7.65,salud,6.99
USR-01076,9.54,retiro_cajero,9.54
USR-01077,0.0,ninguna,0.0
USR-01079,38.33,ropa_accesorios,32.0
USR-01083,33.05,salud,23.65
USR-01084,0.0,ninguna,0.0
USR-01085,64.35,supermercado,24.67
USR-01087,14.84,entretenimiento,14.84
USR-01088,0.0,ninguna,0.0
USR-01089,1.8,restaurante,1.8
USR-01090,5.75,transporte,5.75
USR-01093,33.29,supermercado,15.89
USR-01095,0.0,ninguna,0.0
USR-01097,18.58,salud,18.58
USR-01098,0.0,ninguna,0.0
USR-01101,10.4,restaurante,8.19
USR-01102,100.19,transporte,91.64
USR-01104,251.74,gobierno,141.94
USR-01105,68.14,entretenimiento,36.42
USR-01106,11.16,gobierno,11.16
USR-01109,18.67,restaurante,7.12
USR-01112,0.0,ninguna,0.0
USR-01114,12.99,servicios_digitales,8.27
USR-01119,13.73,supermercado,13.73
USR-01120,295.52,hogar,246.47
USR-01125,0.0,ninguna,0.0
USR-01130,218.24,servicios_digitales,119.22
USR-01131,0.0,ninguna,0.0
USR-01133,0.0,ninguna,0.0
USR-01135,86.82,hogar,68.61
USR-01137,14.69,supermercado,12.01
USR-01138,411.62,supermercado,169.57
USR-01140,0.0,ninguna,0.0
USR-01141,14.09,transporte,9.65
USR-01142,8.79,ropa_accesorios,6.32
USR-01150,0.0,ninguna,0.0
USR-01154,0.0,ninguna,0.0
USR-01158,26.72,supermercado,13.49
USR-01159,36.61,salud,17.0
USR-01160,0.0,ninguna,0.0
USR-01161,0.0,ninguna,0.0
USR-01162,0.0,ninguna,0.0
USR-01165,4.01,tecnologia,2.05
USR-01169,0.0,ninguna,0.0
USR-01171,8.95,restaurante,6.24
USR-01172,0.0,ninguna,0.0
USR-01175,12.89,salud,12.89
USR-01176,0.0,ninguna,0.0
USR-01179,4.45,restaurante,4.45
USR-01187,9.96,restaurante,9.96
USR-01189,17.29,gobierno,14.05
USR-01191,16.62,entretenimiento,8.48
USR-01197,19.65,transporte,19.65
USR-01199,7.16,restaurante,7.16
USR-01201,5.82,retiro_cajero,5.82
USR-01203,0.0,ninguna,0.0
USR-01205,1.43,transporte,0.84
USR-01206,22.28,ropa_accesorios,6.42
USR-01207,8.09,ropa_accesorios,8.09
USR-01208,0.0,ninguna,0.0
USR-01209,0.0,ninguna,0.0
USR-01212,7.72,restaurante,7.36
USR-01217,2.36,retiro_cajero,2.36
USR-01219,8.51,supermercado,8.51
USR-01220,0.0,ninguna,0.0
USR-01223,0.0,ninguna,0.0
USR-01224,13.28,salud,13.28
USR-01225,20.19,retiro_cajero,12.88
USR-01226,34.82,restaurante,34.82
USR-01227,0.0,ninguna,0.0
USR-01229,5.76,restaurante,4.28
USR-01231,1.1,supermercado,1.1
USR-01235,0.0,ninguna,0.0
USR-01237,21.69,supermercado,14.5
USR-01239,7.57,restaurante,6.4
USR-01240,4.26,restaurante,4.26
USR-01241,0.0,ninguna,0.0
USR-01243,312.16,transporte,230.14
USR-01246,0.3,supermercado,0.3
USR-01248,12.19,supermercado,12.19
USR-01250,2.41,restaurante,2.41
USR-01251,0.0,ninguna,0.0
USR-01252,1.66,ropa_accesorios,1.66
USR-01253,0.0,ninguna,0.0
USR-01254,0.0,ninguna,0.0
USR-01257,0.0,ninguna,0.0
USR-01260,19.75,supermercado,19.75
USR-01263,22.13,tecnologia,6.34
USR-01265,0.0,ninguna,0.0
USR-01266,38.17,transporte,38.17
USR-01268,0.0,ninguna,0.0
USR-01276,0.0,ninguna,0.0
USR-01277,0.0,ninguna,0.0
USR-01278,0.0,ninguna,0.0
USR-01279,30.84,viajes,17.2
USR-01282,0.0,ninguna,0.0
USR-01283,7.82,supermercado,4.64
USR-01284,0.0,ninguna,0.0
USR-01285,4.18,restaurante,4.18
USR-01286,13.28,transporte,13.28
USR-01288,25.06,hogar,25.06
USR-01290,0.0,ninguna,0.0
USR-01292,0.0,ninguna,0.0
USR-01299,18.4,supermercado,18.4
USR-01301,102.72,tecnologia,102.72
USR-01303,20.16,supermercado,16.66
USR-01304,0.0,ninguna,0.0
USR-01308,18.18,supermercado,18.18
USR-01309,9.99,entretenimiento,9.99
USR-01312,135.58,supermercado,135.58
USR-01314,0.0,ninguna,0.0
USR-01315,10.84,retiro_cajero,10.84
USR-01316,157.97,gobierno,76.54
USR-01317,2.77,supermercado,2.27
USR-01318,19.02,restaurante,7.92
USR-01319,9.8,supermercado,9.8
USR-01320,35.77,restaurante,21.37
USR-01321,0.0,ninguna,0.0
USR-01322,10.72,gobierno,10.27
USR-01323,9.2,educacion,9.2
USR-01325,0.0,ninguna,0.0
USR-01326,0.0,ninguna,0.0
USR-01328,11.6,educacion,11.6
USR-01329,45.67,ropa_accesorios,31.54
USR-01332,0.0,ninguna,0.0
USR-01336,0.0,ninguna,0.0
USR-01338,44.98,supermercado,36.87
USR-01342,4.65,supermercado,4.65
USR-01344,0.0,ninguna,0.0
USR-01345,2.7,supermercado,2.7
USR-01348,4.19,restaurante,4.19
USR-01350,26.24,supermercado,26.24
USR-01353,0.0,ninguna,0.0
USR-01354,0.0,ninguna,0.0
USR-01356,66.92,salud,29.74
USR-01357,7.11,salud,5.43
USR-01361,4.96,ropa_accesorios,4.68
USR-01362,15.98,tecnologia,12.71
USR-01364,0.0,ninguna,0.0
USR-01366,0.0,ninguna,0.0
USR-01367,0.0,ninguna,0.0
USR-01368,11.03,restaurante,11.03
USR-01370,0.0,ninguna,0.0
USR-01371,45.62,supermercado,16.43
USR-01375,17.36,viajes,17.36
USR-01376,20.6,supermercado,18.57
USR-01377,23.85,transporte,23.85
USR-01378,4.51,supermercado,4.51
USR-01380,7.58,supermercado,7.58
USR-01381,15.71,restaurante,13.42
USR-01384,140.82,transporte,138.19
USR-01387,0.0,ninguna,0.0
USR-01389,438.83,hogar,230.26
USR-01390,21.32,gobierno,21.32
USR-01391,0.0,ninguna,0.0
USR-01392,0.0,ninguna,0.0
USR-01393,0.0,ninguna,0.0
USR-01394,38.9,supermercado,26.5
USR-01395,7.88,restaurante,7.88
USR-01396,9.92,ropa_accesorios,9.92
USR-01399,0.0,ninguna,0.0
USR-01401,0.0,ninguna,0.0
USR-01402,0.0,ninguna,0.0
USR-01403,255.38,restaurante,255.38
USR-01405,18.77,retiro_cajero,11.74
USR-01406,0.0,ninguna,0.0
USR-01408,0.34,restaurante,0.34
USR-01409,28.95,supermercado,17.82
USR-01410,0.0,ninguna,0.0
USR-01414,0.0,ninguna,0.0
USR-01415,22.47,supermercado,12.19
USR-01416,38.29,gobierno,17.32
USR-01417,20.54,servicios_digitales,9.14
USR-01421,0.0,ninguna,0.0
