user_id,cashback_perdido_mensual,segmento,nomina_domiciliada,ingreso_mensual_mxn,score_buro,edad,ocupacion,satisfaccion_1_10,dias_desde_ultimo_login,num_productos_activos
USR-00142,4.6935,C,False,11000,645,39,Independiente,7.0,122,1
USR-00143,6.919200000000001,C,False,32000,378,48,Empleado,7.0,147,1
USR-00144,35.44558888888889,C,True,22000,788,32,Empleado,7.0,6,2
USR-00145,29.67405,C,False,54000,751,56,Empleado,9.0,4,3
USR-00146,28.140225,C,False,76000,707,58,Independiente,10.0,9,3
USR-00147,8.165033333333334,C,True,23000,591,43,Empleado,6.0,15,1
USR-00148,16.599155555555555,C,False,21000,307,25,Independiente,4.0,7,2
USR-00150,159.34547142857144,B,False,65000,741,34,Empresario,8.0,1,2
USR-00151,28.262054545454546,C,True,21500,532,45,Empleado,8.0,10,2
USR-00153,7.100125,C,False,31500,479,22,Estudiante,,84,1
USR-00154,13.134514285714285,C,True,10500,409,37,Empleado,4.0,15,1
USR-00155,26.56325,C,True,34000,769,46,Empleado,8.0,17,2
USR-00156,12.238345454545454,C,False,29500,517,21,Estudiante,7.0,3,1
USR-00157,57.46677777777778,C,True,58000,639,56,Empleado,10.0,17,4
USR-00160,10.066036363636364,C,False,28500,659,21,Estudiante,8.0,2,2
USR-00161,3.9929333333333337,C,False,5000,685,55,Desempleado,4.0,130,0
USR-00162,22.39467272727273,C,True,39000,481,46,Empleado,9.0,1,2
USR-00168,20.608089999999997,C,True,23000,764,49,Empleado,7.0,11,3
USR-00169,5.982366666666667,C,False,27000,430,48,Independiente,4.0,167,0
USR-00171,14.169300000000002,C,True,17000,752,42,Empleado,9.0,19,2
USR-00173,15.603033333333334,C,True,38500,630,28,Empleado,8.0,17,4
USR-00174,23.44388181818182,C,False,22500,384,50,Empleado,3.0,8,2
USR-00175,14.5328,C,False,16000,407,44,Empleado,6.0,10,1
USR-00176,3.48,C,True,14000,661,39,Empleado,6.0,75,1
USR-00177,20.840049999999998,C,True,10500,586,51,Empleado,10.0,2,3
USR-00179,30.482311111111112,C,True,34000,534,41,Empleado,6.0,7,3
USR-00180,29.2901375,C,True,35500,621,52,Empleado,8.0,6,2
USR-00181,31.781799999999997,C,True,31000,486,47,Empleado,,17,3
USR-00182,7.6999249999999995,C,True,30000,406,26,Empleado,4.0,67,1
USR-00183,195.41726666666668,B,False,87000,601,39,Independiente,10.0,7,3
USR-00185,10.5953,C,False,6500,663,32,Estudiante,4.0,39,0
USR-00187,8.2871,C,True,33500,523,54,Empleado,4.0,74,0
USR-00188,22.0553125,C,False,12500,435,40,Independiente,5.0,18,3
USR-00192,200.37495555555557,B,False,43000,536,54,Empresario,7.0,0,2
USR-00193,5.903975,C,False,17500,401,41,Empleado,4.0,169,1
USR-00194,12.8601,C,False,17000,604,49,Desempleado,5.0,95,1
USR-00196,152.57363636363635,B,False,75000,750,43,Independiente,9.0,1,4
USR-00197,21.329672727272726,C,True,30500,526,43,Empleado,7.0,13,3
USR-00198,165.11664545454548,B,False,32000,765,40,Empresario,8.0,3,3
USR-00200,5.5932,C,False,24500,431,56,Empleado,7.0,38,0
USR-00201,21.850544444444445,C,True,31500,593,55,Empleado,10.0,11,3
USR-00203,17.75569090909091,C,False,20000,480,27,Empresario,10.0,2,1
USR-00204,19.063944444444445,C,False,16000,695,25,Empleado,9.0,0,3
USR-00205,4.86025,C,False,25500,677,30,Desempleado,6.0,67,1
USR-00207,7.051550000000001,C,False,34000,467,60,Independiente,4.0,59,0
USR-00214,11.631166666666665,C,False,13500,406,48,Empresario,7.0,21,1
USR-00216,8.6984,C,False,29500,649,54,Desempleado,6.0,116,1
USR-00219,217.17570999999998,B,False,94000,794,53,Independiente,6.0,14,3
USR-00220,24.4511,C,True,26500,602,41,Empleado,7.0,8,3
USR-00223,19.550712500000003,C,False,23500,430,48,Independiente,7.0,12,3
USR-00224,15.116175,C,False,13500,311,38,Empleado,4.0,12,2
USR-00225,31.399563636363634,C,True,38500,733,29,Empleado,10.0,12,2
USR-00226,13.371010000000002,C,False,17500,467,26,Independiente,8.0,2,1
USR-00227,206.3049625,B,False,94000,528,40,Empresario,10.0,10,4
USR-00228,48.34341818181818,C,False,30000,706,43,Empleado,7.0,11,2
USR-00231,14.018912499999999,C,False,19500,558,49,Empresario,3.0,5,1
USR-00235,30.692169999999997,C,True,21000,716,26,Empleado,6.0,1,5
USR-00238,16.2206,C,False,8000,663,28,Empresario,8.0,3,2
USR-00240,26.935355555555557,C,True,17000,724,29,Empleado,8.0,12,3
USR-00246,18.130675,C,True,35500,544,36,Empleado,8.0,18,4
USR-00247,21.140866666666668,C,False,8000,581,42,Independiente,5.0,7,1
USR-00248,6.320366666666668,C,False,8000,642,27,Empleado,5.0,78,0
USR-00249,35.211175,C,False,74000,713,59,Empleado,9.0,8,3
USR-00250,13.55975714285714,C,False,11500,400,48,Empleado,6.0,3,2
USR-00251,18.862433333333332,C,True,18000,346,36,Empleado,6.0,24,2
USR-00252,30.88774444444444,C,False,29000,673,52,Empleado,7.0,18,3
USR-00254,4.290100000000001,C,True,23000,466,36,Empleado,7.0,50,1
USR-00255,49.15731111111111,C,False,24000,842,40,Independiente,7.0,10,3
USR-00258,6.426200000000001,C,True,21000,559,39,Empleado,4.0,153,1
USR-00262,24.510566666666666,C,True,21500,693,43,Empleado,9.0,3,2
USR-00265,31.91703,C,True,30500,493,48,Empleado,9.0,8,3
USR-00267,128.6582,B,False,85000,807,44,Independiente,9.0,2,3
USR-00270,12.491200000000001,C,True,29000,448,28,Empleado,7.0,3,1
USR-00271,35.028311111111115,C,True,75000,741,56,Empleado,8.0,19,4
USR-00272,2.428366666666667,C,False,26000,438,24,Desempleado,6.0,45,1
USR-00274,28.166718181818183,C,True,19500,690,48,Empleado,7.0,3,3
USR-00276,9.036933333333334,C,False,17000,371,43,Desempleado,6.0,149,0
USR-00278,178.08974,B,False,50000,716,30,Empresario,,9,3
USR-00279,9.5176,C,False,31000,645,26,Desempleado,7.0,139,1
USR-00281,6.871133333333334,C,False,24500,555,45,Desempleado,5.0,62,1
USR-00283,22.02217777777778,C,False,29000,719,47,Empleado,7.0,19,5
USR-00284,23.5227,C,False,16500,327,45,Empleado,7.0,22,1
USR-00287,164.97431,B,False,26000,610,41,Independiente,8.0,10,2
USR-00288,14.808400000000002,C,False,33500,490,59,Empresario,5.0,152,1
USR-00289,29.633827272727274,C,True,30500,776,54,Empleado,7.0,4,1
USR-00290,6.396866666666667,C,False,31000,500,42,Empresario,,164,1
USR-00291,166.76434444444442,B,False,57000,540,34,Empresario,,11,0
USR-00297,7.819233333333334,C,False,26000,525,52,Empleado,4.0,80,1
USR-00298,21.51585,C,True,29500,617,36,Empleado,6.0,2,3
USR-00299,17.9377,C,True,16000,466,27,Empleado,4.0,7,1
USR-00300,132.0773375,B,False,63000,584,41,Empresario,6.0,1,2
USR-00301,10.707600000000001,C,True,17000,547,29,Empleado,3.0,8,2
USR-00302,7.0985,C,False,8500,431,29,Desempleado,7.0,40,0
USR-00305,161.35048,B,False,58000,789,58,Empleado,7.0,7,4
USR-00308,34.44575555555556,C,False,28000,741,30,Empleado,10.0,4,5
USR-00309,13.05778181818182,C,False,19500,758,20,Estudiante,9.0,1,2
USR-00312,20.012854545454545,C,True,35500,527,50,Empleado,9.0,9,2
USR-00313,16.725566666666666,C,True,33500,665,26,Empleado,8.0,4,3
USR-00314,8.96925,C,False,34000,509,43,Empresario,5.0,172,1
USR-00315,2.2388250000000003,C,False,11500,657,33,Empleado,6.0,52,0
USR-00317,19.53227142857143,C,True,21000,766,32,Empleado,10.0,11,3
USR-00325,37.73236666666667,C,True,40000,603,44,Empleado,7.0,3,2
USR-00326,17.18486,C,True,37000,582,41,Empleado,8.0,3,2
USR-00330,14.20975,C,False,11000,363,37,Empresario,3.0,3,1
USR-00332,14.616718181818184,C,False,10000,486,49,Empresario,4.0,0,2
USR-00335,160.35615555555557,B,False,54000,758,42,Empresario,8.0,12,3
USR-00337,9.8116,C,False,17000,406,37,Empleado,7.0,3,1
USR-00338,27.681550000000005,C,True,11500,616,31,Empleado,9.0,4,3
USR-00342,52.019825,C,False,34000,687,39,Empresario,8.0,7,3
USR-00344,29.348428571428574,C,True,26500,523,26,Empleado,9.0,4,2
USR-00345,21.734825,C,True,11000,433,33,Empleado,4.0,19,2
USR-00347,22.722908333333333,C,True,21000,715,46,Empleado,8.0,9,3
USR-00348,10.081236363636364,C,False,26500,738,19,Estudiante,7.0,0,0
USR-00350,123.14228,B,False,84000,799,55,Empresario,6.0,1,5
USR-00354,23.67238181818182,C,True,25000,556,43,Empleado,6.0,2,1
USR-00356,14.738433333333335,C,False,10500,498,24,Empleado,,13,1
USR-00357,13.9448,C,True,17500,361,44,Empleado,6.0,22,2
USR-00358,6.393433333333333,C,False,11500,603,36,Desempleado,5.0,112,1
USR-00359,21.13617,C,True,9500,564,32,Empleado,7.0,13,3
USR-00361,19.77174,C,True,38000,723,43,Empleado,8.0,0,1
USR-00362,36.542211111111115,C,False,41000,601,55,Empleado,8.0,19,4
USR-00364,19.10813333333333,C,True,18500,559,37,Empleado,8.0,15,4
USR-00365,19.561672727272725,C,True,12000,459,30,Empleado,8.0,0,2
USR-00366,11.714127272727273,C,False,24000,564,23,Estudiante,8.0,2,1
USR-00367,13.90935,C,True,22500,418,33,Empleado,5.0,23,2
USR-00368,3.388833333333333,C,False,22000,370,23,Empleado,6.0,60,0
USR-00375,136.90123333333335,B,False,92000,727,37,Independiente,10.0,1,4
USR-00376,14.402288888888888,C,True,38000,498,30,Empleado,10.0,3,4
USR-00379,8.0985,C,False,5000,399,25,Desempleado,6.0,133,1
USR-00382,29.692536363636364,C,True,17500,633,51,Empleado,6.0,19,3
USR-00383,5.5175,C,True,26000,700,39,Empleado,6.0,152,0
USR-00385,220.46784545454548,B,False,86000,766,37,Empresario,10.0,6,3
USR-00388,14.682354545454546,C,True,34000,491,38,Empleado,7.0,9,1
USR-00390,22.971311111111113,C,False,23000,604,58,Empleado,10.0,5,2
USR-00400,3.1763500000000002,C,True,33500,512,33,Empleado,4.0,75,1
USR-00403,16.489957142857143,C,False,17000,500,42,Empleado,3.0,6,2
USR-00405,3.4205,C,False,32000,545,51,Estudiante,4.0,58,1
USR-00406,68.44575454545455,C,True,12000,513,38,Empleado,9.0,15,2
USR-00409,18.244357142857144,C,False,17000,540,41,Independiente,6.0,18,1
USR-00413,6.412800000000001,C,False,16000,692,22,Desempleado,5.0,30,1
USR-00414,6.101650000000001,C,False,25500,682,23,Estudiante,4.0,152,0
USR-00416,6.55835,C,False,9500,489,42,Empleado,6.0,158,0
USR-00417,17.494985714285715,C,True,21500,689,41,Empleado,10.0,2,2
USR-00418,18.4705,C,True,36000,492,32,Empleado,9.0,16,2
USR-00419,6.99975,C,False,5500,574,51,Desempleado,5.0,76,0
USR-00420,12.0436625,C,True,19500,642,29,Empleado,6.0,1,1
USR-00421,16.150066666666664,C,True,15500,613,42,Empleado,10.0,3,2
USR-00423,18.572166666666668,C,True,18500,629,30,Empleado,7.0,14,3
USR-00424,2.6647499999999997,C,False,12500,586,45,Desempleado,6.0,94,1
USR-00425,26.39148888888889,C,False,33000,671,58,Empresario,9.0,17,4
USR-00426,20.462200000000003,C,False,13000,542,34,Empleado,7.0,16,2
USR-00427,7.9014,C,False,6500,458,36,Empleado,3.0,3,1
USR-00428,11.183175,C,True,26500,554,30,Empleado,,1,2
USR-00431,29.346611111111113,C,True,26000,631,47,Empleado,10.0,5,5
USR-00432,643.6762444444444,A,False,48000,574,33,Empresario,6.0,1,4
USR-00433,5.715,C,False,30500,434,50,Desempleado,7.0,153,0
USR-00435,110.7778375,B,False,33000,793,44,Empresario,7.0,6,1
USR-00436,1.6908,C,False,21000,533,38,Empresario,5.0,170,1
USR-00437,25.327,C,True,39000,774,29,Empleado,10.0,12,4
USR-00438,17.57481,C,False,19000,562,26,Empleado,7.0,3,2
USR-00439,6.799033333333333,C,True,4500,398,45,Empleado,5.0,168,1
USR-00445,17.385655555555555,C,True,26500,605,38,Empleado,7.0,10,3
USR-00447,15.368918181818184,C,True,36500,566,50,Empleado,10.0,8,1
USR-00451,24.4878,C,False,22000,426,49,Empleado,4.0,120,1
USR-00452,11.9751,C,False,23500,538,28,Empleado,4.0,10,2
USR-00453,103.97751111111111,B,True,27500,685,32,Empleado,6.0,16,4
USR-00455,34.144488888888894,C,False,37500,662,33,Empleado,10.0,5,3
USR-00457,16.9448,C,False,14000,571,32,Independiente,4.0,10,1
USR-00459,11.9852,C,True,8000,476,33,Empleado,6.0,1,3
USR-00460,23.69615,C,False,49000,718,51,Empleado,10.0,15,3
USR-00463,6.8911999999999995,C,False,33000,439,49,Empleado,7.0,178,0
USR-00464,17.079044444444445,C,False,17500,371,40,Empleado,7.0,24,1
USR-00465,11.607385714285714,C,False,7500,372,46,Empleado,3.0,22,1
USR-00467,33.77408888888888,C,False,67000,682,52,Empleado,10.0,9,4
USR-00469,35.4768,C,True,9000,763,51,Empleado,9.0,10,2
USR-00470,11.39016,C,True,7500,359,24,Empleado,6.0,3,2
USR-00471,99.154075,C,False,80000,699,32,Empresario,6.0,2,1
USR-00472,40.386988888888894,C,False,65000,734,43,Independiente,8.0,10,4
USR-00476,255.70772727272725,B,False,92000,614,37,Empresario,7.0,13,4
USR-00480,17.222966666666668,C,False,9500,453,30,Independiente,4.0,2,2
USR-00481,49.775125,C,True,79000,763,40,Empleado,7.0,7,2
USR-00482,42.95791666666667,C,True,58000,631,38,Empleado,9.0,4,4
USR-00483,24.90235,C,True,21500,755,49,Empleado,7.0,11,2
USR-00485,9.105544444444444,C,False,9500,617,19,Empleado,7.0,1,2
USR-00487,6.5878,C,False,16500,355,29,Empleado,6.0,20,3
USR-00488,41.812557142857145,C,False,32000,770,48,Empleado,10.0,15,2
USR-00490,2.7079000000000004,C,False,31500,438,22,Independiente,5.0,129,0
USR-00492,154.29344545454546,B,False,45000,668,48,Empresario,7.0,11,3
USR-00494,29.44435,C,True,65000,749,30,Empleado,8.0,5,3
USR-00496,13.4141625,C,False,8500,527,28,Empleado,3.0,23,2
USR-00498,15.488366666666666,C,True,14000,646,39,Empleado,8.0,9,5
USR-00502,19.44812,C,True,13500,663,51,Empleado,10.0,0,2
USR-00503,25.747983333333334,C,True,39000,704,40,Empleado,9.0,0,3
USR-00505,17.52914285714286,C,False,21000,472,26,Independiente,3.0,14,2
USR-00506,4.0974,C,False,8000,701,52,Desempleado,4.0,164,2
USR-00508,21.442850000000004,C,True,9000,733,42,Empleado,7.0,2,3
USR-00509,108.85983333333334,B,False,64000,714,50,Independiente,10.0,12,3
USR-00510,10.06709,C,True,18500,448,45,Empleado,5.0,0,1
USR-00513,15.21925,C,True,16000,383,48,Empleado,5.0,18,3
USR-00514,30.244640000000004,C,False,43000,611,57,Empleado,7.0,15,2
USR-00515,22.19662222222222,C,True,18500,649,43,Empleado,10.0,13,1
USR-00517,10.3088875,C,False,17000,441,37,Empleado,4.0,0,1
USR-00519,174.34593636363635,B,False,61000,657,38,Independiente,7.0,9,2
USR-00520,9.0087625,C,True,28500,679,38,Empleado,8.0,16,3
USR-00521,10.970400000000001,C,False,16500,485,29,Independiente,3.0,24,2
USR-00523,6.4191,C,False,21500,549,36,Empresario,5.0,121,1
USR-00527,18.721027272727273,C,False,7500,307,42,Empleado,7.0,12,1
USR-00528,38.78863333333334,C,False,44000,758,45,Empleado,10.0,1,2
USR-00529,22.43667272727273,C,True,10500,739,38,Empleado,8.0,9,3
USR-00531,5.913450000000001,C,False,20500,328,39,Independiente,6.0,9,1
USR-00532,15.467228571428572,C,False,17500,375,30,Independiente,4.0,13,2
USR-00533,24.355988888888888,C,False,12000,585,41,Independiente,5.0,18,1
USR-00534,23.5881,C,False,30500,551,22,Empleado,5.0,112,1
USR-00536,77.92942857142857,C,False,73000,680,53,Independiente,9.0,13,4
USR-00538,23.06371,C,True,30000,530,46,Empleado,8.0,19,3
USR-00539,17.66715,C,False,23000,529,30,Empleado,7.0,60,1
USR-00540,4.7774,C,False,13000,474,34,Independiente,5.0,122,0
USR-00541,0.0,C,False,31000,544,27,Independiente,4.0,163,1
USR-00542,14.23149090909091,C,True,23500,600,28,Empleado,9.0,3,2
USR-00543,7.0855999999999995,C,True,7500,450,23,Empleado,6.0,117,1
USR-00545,20.3408375,C,True,37500,774,55,Empleado,7.0,17,4
USR-00546,6.761,C,False,14000,401,36,Independiente,4.0,31,0
USR-00551,15.216180000000003,C,False,16000,360,32,Empleado,5.0,10,1
USR-00552,7.345533333333333,C,False,18500,525,36,Empleado,5.0,86,1
USR-00555,42.566011111111116,C,False,73000,727,49,Empleado,8.0,6,3
USR-00556,11.345285714285714,C,False,12000,584,36,Independiente,7.0,15,1
USR-00557,14.096800000000002,C,False,9000,345,42,Independiente,6.0,22,1
USR-00558,21.9513,C,True,34500,678,51,Empleado,7.0,12,3
USR-00559,4.973875,C,False,15000,445,45,Independiente,4.0,47,1
USR-00561,3.238275,C,True,21000,675,45,Empleado,4.0,142,0
USR-00562,16.36283636363636,C,True,38000,560,26,Empleado,7.0,5,3
USR-00563,121.7346,B,False,98000,749,52,Empresario,10.0,14,2
USR-00564,86.43934,C,True,17500,481,51,Empleado,7.0,4,3
USR-00565,14.58055,C,False,23500,476,45,Independiente,7.0,10,2
USR-00566,12.14544,C,False,19500,494,42,Empleado,,15,2
USR-00571,6.36542,C,False,9500,444,40,Desempleado,7.0,121,0
USR-00572,16.55061111111111,C,False,11000,454,31,Empleado,5.0,15,2
USR-00575,30.22744,C,False,24000,703,58,Empleado,7.0,13,4
USR-00576,57.26345,C,False,59000,783,39,Independiente,10.0,7,2
USR-00579,108.50241428571428,B,False,78000,609,31,Empresario,8.0,12,4
USR-00580,13.141300000000001,C,False,11500,353,48,Empleado,4.0,17,1
USR-00581,131.74997000000002,B,False,42000,802,35,Empresario,9.0,13,4
USR-00584,174.32976,B,False,73000,581,45,Independiente,8.0,2,4
USR-00587,8.672,C,False,12000,602,57,Desempleado,4.0,45,2
USR-00591,234.0460888888889,B,False,73000,568,44,Empresario,6.0,4,4
USR-00593,5.0866999999999996,C,False,20000,622,43,Desempleado,4.0,31,0
USR-00594,23.34273333333333,C,True,12000,748,55,Empleado,8.0,4,2
USR-00595,2.775266666666667,C,True,30500,711,27,Empleado,5.0,138,1
USR-00596,29.369471428571426,C,True,35500,776,42,Empleado,7.0,18,3
USR-00597,25.340681818181817,C,True,31500,579,51,Empleado,9.0,9,3
USR-00599,6.74995,C,False,27000,518,49,Empleado,5.0,149,1
USR-00600,7.967825,C,False,6000,667,25,Desempleado,6.0,136,0
USR-00602,10.777854545454545,C,False,14000,459,19,Empleado,9.0,0,2
USR-00604,7.3857,C,False,28500,379,27,Jubilado,6.0,79,0
USR-00606,3.7489333333333335,C,True,31000,525,30,Empleado,5.0,137,0
USR-00607,31.97831,C,False,45000,831,38,Empleado,8.0,18,2
USR-00608,9.058728571428572,C,True,17000,344,25,Empleado,7.0,20,1
USR-00611,6.954000000000001,C,False,12000,377,56,Independiente,5.0,167,0
USR-00612,38.099025,C,False,43000,767,58,Empleado,10.0,3,1
USR-00614,12.337557142857142,C,False,24000,356,34,Empleado,3.0,18,1
USR-00615,48.65197,C,False,40000,803,40,Independiente,8.0,6,4
USR-00618,576.7431363636364,A,False,54000,556,37,Empresario,10.0,10,3
USR-00619,16.68416,C,False,14000,553,28,Empleado,7.0,8,2
USR-00621,15.82771111111111,C,True,15500,719,55,Empleado,8.0,16,4
USR-00628,24.952054545454544,C,True,28500,773,27,Empleado,6.0,9,2
USR-00630,19.849480000000003,C,False,23000,521,29,Independiente,10.0,2,3
USR-00632,22.008499999999998,C,True,17500,678,38,Empleado,9.0,4,3
USR-00634,15.357275,C,False,23000,471,42,Empleado,3.0,7,2
USR-00635,49.195910000000005,C,True,14500,408,25,Empleado,3.0,0,2
USR-00636,29.08681111111111,C,True,17000,528,29,Empleado,10.0,4,3
USR-00637,15.202666666666667,C,True,24500,436,48,Empleado,3.0,6,1
USR-00638,19.76501818181818,C,True,31000,565,49,Empleado,8.0,8,3
USR-00639,14.2908875,C,True,17000,466,30,Empleado,6.0,5,1
USR-00640,14.831166666666668,C,False,14000,502,37,Empleado,4.0,6,1
USR-00642,18.379240000000003,C,True,36000,560,35,Empleado,7.0,5,1
USR-00644,9.443,C,True,33000,674,49,Empleado,6.0,137,1
USR-00645,23.6450375,C,True,34500,601,54,Empleado,6.0,19,2
USR-00646,54.66717777777777,C,False,28000,829,35,Empresario,7.0,13,2
USR-00648,92.5836,C,False,69000,583,31,Empresario,9.0,11,3
USR-00649,15.521629999999998,C,True,25500,564,34,Empleado,10.0,4,2
USR-00651,23.659045454545456,C,True,25000,484,31,Empleado,10.0,17,3
USR-00655,16.41635,C,True,35000,700,35,Empleado,9.0,6,3
USR-00656,223.20166,B,False,64000,611,35,Independiente,10.0,1,3
USR-00657,26.07272857142857,C,False,25000,601,45,Independiente,8.0,6,2
USR-00658,51.289480000000005,C,False,48000,729,36,Empleado,8.0,18,2
USR-00661,37.5884375,C,False,76000,715,57,Empleado,8.0,12,2
USR-00666,24.8650625,C,True,24000,494,37,Empleado,9.0,14,3
USR-00667,5.063433333333333,C,False,27500,440,25,Independiente,4.0,110,1
USR-00671,188.28101818181815,B,False,43000,750,38,Independiente,9.0,4,1
USR-00672,0.0,C,False,16500,642,29,Desempleado,4.0,80,1
USR-00674,5.2949,C,False,14500,437,32,Empleado,4.0,136,2
USR-00678,38.794,C,True,41500,751,31,Empleado,10.0,1,4
USR-00679,15.997025,C,True,22000,584,47,Empleado,8.0,9,4
USR-00680,18.223990909090908,C,True,11500,765,55,Empleado,6.0,11,2
USR-00681,23.472262500000003,C,True,11000,646,49,Empleado,6.0,6,2
USR-00682,162.59565,B,False,40000,752,48,Independiente,7.0,1,2
USR-00686,14.61156,C,False,14000,559,27,Independiente,8.0,2,1
USR-00687,5.58625,C,False,8000,419,27,Desempleado,4.0,163,1
USR-00688,103.99674285714285,B,True,16500,666,33,Empleado,10.0,15,5
USR-00689,12.767888888888889,C,True,21000,387,49,Empleado,4.0,15,3
USR-00691,8.4556,C,False,10000,656,36,Independiente,6.0,94,2
USR-00696,37.6984875,C,False,51000,638,52,Empleado,10.0,7,4
USR-00698,6.728899999999999,C,False,25500,606,38,Empleado,7.0,60,0
USR-00699,16.175885714285716,C,True,24500,366,28,Empleado,3.0,12,1
USR-00701,18.4098125,C,False,8500,470,36,Empleado,3.0,3,0
